cname,mname
College of Agriculture and Life Sciences,"Agricultural Leadership, Education, and Communications-  PHD"
College of Agriculture and Life Sciences,Applied Youth Development
College of Agriculture and Life Sciences,Animal Breeding
College of Agriculture and Life Sciences,Equine Industry Management
College of Agriculture and Life Sciences,Physiology of Reproduction-  MS
College of Agriculture and Life Sciences,Physiology of Reproduction
College of Agriculture and Life Sciences,Biochemistry and Biophysics
College of Agriculture and Life Sciences,Biochemistry and Molecular Biophysics
College of Agriculture and Life Sciences,Horticultural Sciences
College of Agriculture and Life Sciences,Plant Breeding
College of Agriculture and Life Sciences,Plant Breeding-  PHD
College of Agriculture and Life Sciences,Clinical Nutrition
College of Agriculture and Life Sciences,Plant Pathology and Microbiology
College of Agriculture and Life Sciences,Plant Pathology
College of Agriculture and Life Sciences,Natural Resources
College of Agriculture and Life Sciences,Soil and Crop Sciences
College of Agriculture and Life Sciences,Agronomy
College of Agriculture and Life Sciences,Soil Science
College of Architecture,Interdepartmental Programs
College of Architecture,Construction Management
College of Architecture,Landscape Architecture and Urban Planning
College of Architecture,Land and Property Development
College of Architecture,Land and Property Development MLP/ MAR Combined Degree Program
College of Architecture,Land and Property Development MLP/ MRE Combined Degree Program
College of Architecture,Land and Property Development MLP/ MS Combined Degree Program
College of Architecture,Land and Property Development MLP/ MUP Combined Degree Program
College of Architecture,Urban and Regional Science
College of Arts and Sciences,Maritime Archaeology and Conservation
College of Arts and Sciences,Atmospheric Sciences
College of Arts and Sciences,Atmospheric Science
College of Arts and Sciences,Communication and Journalism
College of Arts and Sciences,Economics MS/ MIA Combined Degree Program
College of Arts and Sciences,Geoscience
College of Arts and Sciences,Geology and Geophysics
College of Arts and Sciences,Global Languages and Cultures
College of Arts and Sciences,Hispanic Studies
College of Arts and Sciences,Ocean Science and Technology
College of Arts and Sciences,Physics and Astronomy
College of Arts and Sciences,Astronomy
College of Arts and Sciences,Applied Physics
College of Arts and Sciences,Psychological and Brain Sciences
College of Arts and Sciences,Psychological Sciences
College of Arts and Sciences,Clinical Psychology
College of Arts and Sciences,Industrial Organizational Psychology
College of Arts and Sciences,Statistical Data Science
Mays Business School,Interdepartmental Degree Programs
Mays Business School,Business Administration
Mays Business School,Business Administration MBA/ MS Combined Degree Program
Mays Business School,Analytics
Mays Business School,Business
Mays Business School,Mays Executive MBA Program
Mays Business School,Mays Professional MBA Program
Mays Business School,Financial Management
Mays Business School,Land Economics and Real Estate
Mays Business School,Quantitative Finance
Mays Business School,Information and Operations Management
Mays Business School,Supply Chain and Analytics
Mays Business School,Entrepreneurial Leadership
Mays Business School,Human Resource Management
College of Dentistry,Interdepartmental Programs
College of Dentistry,Oral Biology
College of Dentistry,Dental Surgery
College of Dentistry,Oral and Craniofacial Biomedical Sciences
College of Dentistry,Biomedical Sciences
College of Dentistry,Comprehensive Dentistry
College of Dentistry,Diagnostic Sciences
College of Dentistry,Endodontics
College of Dentistry,Oral and Maxillofacial Surgery
College of Dentistry,Orthodontics
College of Dentistry,Pediatric Dentistry
College of Dentistry,Periodontics
College of Dentistry,Public Health Sciences
College of Education and Human Development,Interdepartmental Degree Programs
College of Education and Human Development,Educational Administration and Human Resource Development
College of Education and Human Development,Educational Administration
College of Education and Human Development,Educational Human Resource Development
College of Education and Human Development,Educational Psychology
College of Education and Human Development,Bilingual/ ESL Education
College of Education and Human Development,Learning Design and Technology
College of Education and Human Development,Special Education
College of Education and Human Development,Counseling Psychology
College of Education and Human Development,School Psychology
College of Education and Human Development,Kinesiology and Sport Management
College of Education and Human Development,Athletic Training
College of Education and Human Development,"Teaching, Learning and Culture"
College of Education and Human Development,Curriculum and Instruction
College of Engineering,Interdepartmental Degree Programs
College of Engineering,Safety Engineering
College of Engineering,Civil and Environmental Engineering
College of Engineering,Computer Science and Engineering
College of Engineering,Electrical and Computer Engineering
College of Engineering,Engineering Technology and Industrial Distribution
College of Engineering,Engineering Technology
College of Engineering,Technical Management
College of Engineering,Industrial and Systems Engineering
College of Engineering,Engineering Management
College of Engineering,Systems Engineering
College of Engineering,Material Science and Engineering
College of Engineering,Multidisciplinary Engineering
College of Engineering,Engineering
Bush School of Government and Public Service,Interdepartmental Degree Programs
Bush School of Government and Public Service,International Policy
Bush School of Government and Public Service,National Security and Intelligence
Bush School of Government and Public Service,Public Service and Administration
Bush School of Government and Public Service,Executive Master of Public Service and Administration
College of Nursing,Nursing in Family Nurse Practitioner
College of Nursing,Nursing in Forensic Nursing
College of Nursing,Nursing in Nursing Education
College of Nursing,Nursing Practice
"College of Performance, Visualization and Fine Arts",Performance Studies
"College of Performance, Visualization and Fine Arts",Visualization
School of Public Health,Interdepartmental Degree Programs
School of Public Health,Health Administration
School of Public Health,Occupational Safety and Health
School of Public Health,Public Health in Health Policy and Management
School of Public Health,Health Services Research
School of Public Health,Public Health Sciences
School of Public Health,Environmental and Occupational Health
School of Public Health,Environmental Health
School of Public Health,Epidemiology and Biostatistics
School of Public Health,Epidemiology
School of Public Health,Biostatistics
School of Public Health,Health Behavior
School of Public Health,Health Promotion and Community Health Sciences
School of Public Health,Health Education Programs
School of Public Health,Health Education
School of Public Health,Health Policy and Management
School of Public Health,Health Policy
College of Veterinary Medicine and Biomedical Sciences,Interdepartmental Degree Programs
College of Veterinary Medicine and Biomedical Sciences,Biomedical Sciences
College of Veterinary Medicine and Biomedical Sciences,Science and Technology Journalism
College of Veterinary Medicine and Biomedical Sciences,Veterinary Public Health- Epidemiology
College of Veterinary Medicine and Biomedical Sciences,Veterinary Medicine
College of Veterinary Medicine and Biomedical Sciences,Veterinary Integrative Biosciences
College of Veterinary Medicine and Biomedical Sciences,Veterinary Public Health Epidemiology
College of Veterinary Medicine and Biomedical Sciences,Veterinary Large Animal Clinical Sciences
College of Veterinary Medicine and Biomedical Sciences,Veterinary Pathobiology
College of Veterinary Medicine and Biomedical Sciences,Veterinary Physiology and Pharmacology
College of Veterinary Medicine and Biomedical Sciences,Veterinary Small Animal Clinical Sciences
Texas A& M University at Galveston,Marine Resources Management
Texas A& M University at Galveston,Marine and Coastal Management and Science
Texas A& M University at Galveston,Maritime Business Administration and Logistics
